rikishi_id,shikona,highest_rank_name,debut_basho,last_basho,debut_year,last_year,career_wins,career_losses,career_absences,career_appearances,career_bashos,win_rate,win_rate_bucket,career_bashos_bucket,career_year_span,is_low_win_long_career
323,清瀬隆 淳,三段目,平成7年3月,平成19年3月,1995,2007.0,244,253,7,497,73,0.4909456740442656,0.45-0.49,60-89,12.0,False
324,旭照天 國宏,幕下,平成7年3月,平成23年1月,1995,2011.0,326,332,7,656,96,0.49544072948328266,0.45-0.49,90-119,16.0,False
325,丹野 史裕,幕下,平成3年5月,平成26年1月,1991,2014.0,461,484,0,945,136,0.48783068783068784,0.45-0.49,>=120,23.0,False
326,玉乃光 裕治,三段目,昭和62年3月,平成12年1月,1987,2000.0,249,279,11,527,78,0.4715909090909091,0.45-0.49,60-89,13.0,False
327,若桜 文彦,幕下,平成5年1月,平成10年9月,1993,1998.0,113,99,26,212,35,0.5330188679245284,0.50-0.54,24-35,5.0,False
328,藤代 勝志,三段目,平成6年9月,平成12年1月,1994,2000.0,102,94,28,196,33,0.5204081632653061,0.50-0.54,24-35,6.0,False
329,板倉 秀行,幕下,平成7年3月,平成16年5月,1995,2004.0,189,170,26,359,56,0.5264623955431755,0.50-0.54,36-59,9.0,False
330,鷹湊 拓也,三段目,平成8年3月,平成10年11月,1996,1998.0,49,35,28,84,17,0.5833333333333334,0.55-0.59,12-23,2.0,False
331,大乃潮 賢一,幕下,平成5年3月,平成16年7月,1993,2004.0,227,216,33,442,69,0.5124153498871332,0.50-0.54,60-89,11.0,False
332,荒忍 由希洋,三段目,平成8年3月,平成12年5月,1996,2000.0,91,84,0,175,26,0.52,0.50-0.54,24-35,4.0,False
333,若三矢 晋作,幕下,平成3年11月,平成14年11月,1991,2002.0,230,212,20,441,67,0.5203619909502263,0.50-0.54,60-89,11.0,False
334,北勝城 勲,幕下,平成8年3月,平成20年1月,1996,2008.0,245,205,40,448,72,0.5444444444444444,0.50-0.54,60-89,12.0,False
335,翔傑 喜昭,幕下,平成7年3月,,1995,,647,640,0,1286,185,0.5027195027195027,0.50-0.54,>=120,,False
336,美貴山 良真,幕下,平成5年3月,平成17年3月,1993,2005.0,242,214,34,455,72,0.5307017543859649,0.50-0.54,60-89,12.0,False
337,玉若 栄二,三段目,昭和63年5月,平成11年1月,1988,1999.0,202,239,7,441,65,0.4580498866213152,0.45-0.49,60-89,11.0,False
338,若武将 克幸,幕下,平成3年3月,平成13年7月,1991,2001.0,220,207,7,427,63,0.5152224824355972,0.50-0.54,60-89,10.0,False
339,早瀬川 修一,幕下,平成7年1月,平成22年9月,1995,2010.0,327,323,8,650,95,0.5030769230769231,0.50-0.54,90-119,15.0,False
340,攻勢力 勇,三段目,平成4年5月,平成12年7月,1992,2000.0,165,171,7,336,50,0.49107142857142855,0.45-0.49,36-59,8.0,False
341,琴今田 智幸,幕下,平成5年3月,平成10年5月,1993,1998.0,107,95,15,201,32,0.5297029702970297,0.50-0.54,24-35,5.0,False
342,増寿 侑起,幕下,平成3年11月,平成13年11月,1991,2001.0,200,192,28,392,61,0.5102040816326531,0.50-0.54,60-89,10.0,False
343,蝦夷の海 宗広,三段目,昭和61年3月,平成11年5月,1986,1999.0,262,284,7,546,80,0.47985347985347987,0.45-0.49,60-89,13.0,False
344,三杉豊 高暁,三段目,平成5年1月,平成11年9月,1993,1999.0,134,138,8,271,41,0.49264705882352944,0.45-0.49,36-59,6.0,False
345,神海力 教真,三段目,平成3年3月,平成15年9月,1991,2003.0,253,265,7,518,76,0.48841698841698844,0.45-0.49,60-89,12.0,False
346,琴豹雅 貢,三段目,平成5年3月,平成11年1月,1993,1999.0,119,109,17,228,36,0.5219298245614035,0.50-0.54,36-59,6.0,False
347,皇都山 貴光,幕下,平成2年3月,平成15年3月,1990,2003.0,240,209,90,449,79,0.534521158129176,0.50-0.54,60-89,13.0,False
348,高橋 敦,三段目,平成5年3月,平成11年11月,1993,1999.0,131,116,19,246,40,0.5303643724696356,0.50-0.54,36-59,6.0,False
349,酒井 一徳,三段目,平成7年3月,平成19年1月,1995,2007.0,238,253,6,491,72,0.4847250509164969,0.45-0.49,60-89,12.0,False
350,増風 昌起,三段目,昭和62年3月,平成12年1月,1987,2000.0,235,294,10,528,78,0.444234404536862,0.40-0.44,60-89,13.0,True
351,今嵐 浩之,三段目,平成2年3月,平成13年7月,1990,2001.0,232,237,7,469,69,0.4946695095948827,0.45-0.49,60-89,11.0,False
352,若八寸 道明,三段目,平成元年3月,平成12年11月,1989,2000.0,206,227,43,432,70,0.47575057736720555,0.45-0.49,60-89,11.0,False
353,富士司 英恭,幕下,平成6年11月,平成19年9月,1994,2007.0,267,254,18,521,78,0.5124760076775432,0.50-0.54,60-89,13.0,False
354,東風 太士,三段目,平成3年9月,平成11年1月,1991,1999.0,153,148,7,301,45,0.5083056478405316,0.50-0.54,36-59,8.0,False
355,豊留 亮太,三段目,平成6年7月,平成13年9月,1994,2001.0,143,137,21,280,44,0.5107142857142857,0.50-0.54,36-59,7.0,False
356,本橋 健一郎,幕下,平成7年3月,平成16年9月,1995,2004.0,199,196,4,395,58,0.5037974683544304,0.50-0.54,36-59,9.0,False
357,桂波 功,三段目,平成6年1月,平成11年11月,1994,1999.0,117,114,14,231,36,0.5064935064935064,0.50-0.54,36-59,5.0,False
358,大屋敷 孝,三段目,昭和61年3月,平成12年1月,1986,2000.0,281,297,3,578,84,0.486159169550173,0.45-0.49,60-89,14.0,False
359,赤池 新吾,三段目,平成2年5月,平成13年5月,1990,2001.0,192,200,36,389,64,0.4897959183673469,0.45-0.49,60-89,11.0,False
360,扇富士 利光,幕下,平成5年3月,平成27年5月,1993,2015.0,451,449,24,899,133,0.5011111111111111,0.50-0.54,>=120,22.0,False
361,福太郎 勝,幕下,平成7年3月,平成15年5月,1995,2003.0,171,146,26,316,50,0.5394321766561514,0.50-0.54,36-59,8.0,False
362,開進 和孝,三段目,平成8年3月,平成16年9月,1996,2004.0,181,176,0,357,52,0.5070028011204482,0.50-0.54,36-59,8.0,False
363,鶴の舞 達成,三段目,平成3年3月,平成12年9月,1991,2000.0,183,192,24,375,58,0.488,0.45-0.49,36-59,9.0,False
364,甲神龍 孝,三段目,平成4年11月,平成11年3月,1992,1999.0,124,128,14,252,39,0.49206349206349204,0.45-0.49,36-59,7.0,False
365,琴国 晃将,十両,平成6年3月,平成26年1月,1994,2014.0,435,414,9,849,119,0.5123674911660777,0.50-0.54,90-119,20.0,False
366,時葉山 吉晴,三段目,平成3年3月,平成11年11月,1991,1999.0,160,174,30,332,53,0.47904191616766467,0.45-0.49,36-59,8.0,False
367,桜風 明,三段目,平成6年3月,平成14年11月,1994,2002.0,170,165,29,333,53,0.5074626865671642,0.50-0.54,36-59,8.0,False
368,上澤 秀文,三段目,平成元年1月,平成12年3月,1989,2000.0,227,214,28,441,68,0.5147392290249433,0.50-0.54,60-89,11.0,False
369,冠甲 利喜男,幕下,平成4年3月,平成20年5月,1992,2008.0,330,342,7,672,98,0.49107142857142855,0.45-0.49,90-119,16.0,False
370,龍星山 公平,三段目,平成6年3月,平成12年5月,1994,2000.0,128,110,21,238,38,0.5378151260504201,0.50-0.54,36-59,6.0,False
371,旭南海 廣光,前頭,平成5年3月,平成23年5月,1993,2011.0,512,493,9,1003,108,0.5094527363184079,0.50-0.54,90-119,18.0,False
372,鳥海龍 秀俊,十両,昭和56年3月,平成12年1月,1981,2000.0,401,360,62,761,114,0.5269382391590013,0.50-0.54,90-119,19.0,False
373,石黒 泰裕,幕下,昭和59年3月,平成10年5月,1984,1998.0,293,295,7,588,86,0.49829931972789115,0.45-0.49,60-89,14.0,False
374,豪天山 真,三段目,平成6年3月,平成10年11月,1994,1998.0,100,82,14,182,29,0.5494505494505495,0.50-0.54,24-35,4.0,False
375,天壽 憲一,幕下,平成4年5月,平成14年5月,1992,2002.0,202,215,3,416,61,0.4844124700239808,0.45-0.49,60-89,10.0,False
376,風師 峡太郎,三段目,平成5年3月,平成13年9月,1993,2001.0,167,159,31,324,52,0.5122699386503068,0.50-0.54,36-59,8.0,False
377,春日龍 真人,三段目,昭和63年11月,平成11年1月,1988,1999.0,209,218,0,427,62,0.4894613583138173,0.45-0.49,60-89,11.0,False
378,千代の宮 崇浩,三段目,平成5年3月,平成12年7月,1993,2000.0,149,133,26,281,45,0.5283687943262412,0.50-0.54,36-59,7.0,False
379,佐谷 英治,三段目,平成6年3月,平成14年9月,1994,2002.0,168,189,0,357,52,0.47058823529411764,0.45-0.49,36-59,8.0,False
380,肥後 俊和,幕下,平成5年3月,平成23年11月,1993,2011.0,377,358,42,733,112,0.5129251700680272,0.50-0.54,90-119,18.0,False
381,勝馬山 秀一,幕下,平成6年3月,平成17年5月,1994,2005.0,223,211,35,434,68,0.5138248847926268,0.50-0.54,60-89,11.0,False
382,玉乃龍 泰光,三段目,平成8年5月,平成11年5月,1996,1999.0,60,59,7,119,19,0.5042016806722689,0.50-0.54,12-23,3.0,False
383,聡ノ富士 久志,幕下,平成8年1月,令和7年5月,1996,2025.0,570,627,21,1195,175,0.47619047619047616,0.45-0.49,>=120,29.0,False
384,勝盛 一隆,幕下,平成8年5月,平成21年1月,1996,2009.0,251,252,29,502,77,0.4990059642147117,0.45-0.49,60-89,13.0,False
385,扇豪 孝則,三段目,平成2年11月,平成21年1月,1990,2009.0,356,407,0,763,110,0.46657929226736566,0.45-0.49,90-119,19.0,False
386,佐々波 誠一,幕下,平成5年3月,平成17年5月,1993,2005.0,254,251,7,505,74,0.502970297029703,0.50-0.54,60-89,12.0,False
387,関東龍 直也,幕下,平成元年1月,平成13年1月,1989,2001.0,242,240,22,480,73,0.5020746887966805,0.50-0.54,60-89,12.0,False
388,豊泉 匡地,幕下,平成5年3月,平成14年5月,1993,2002.0,168,152,65,319,56,0.525,0.50-0.54,36-59,9.0,False
389,肥後ノ嶺 勇紀,幕下,平成6年3月,平成15年11月,1994,2003.0,204,202,0,406,59,0.5024630541871922,0.50-0.54,36-59,9.0,False
390,磯乃海 基且,三段目,平成4年3月,平成13年9月,1992,2001.0,194,198,7,392,58,0.49489795918367346,0.45-0.49,36-59,9.0,False
391,阿武若 誠二,幕下,平成6年3月,平成18年1月,1994,2006.0,191,175,54,365,61,0.5218579234972678,0.50-0.54,60-89,12.0,False
392,小芝 洋四郎,三段目,平成2年3月,平成13年1月,1990,2001.0,215,223,17,437,66,0.4908675799086758,0.45-0.49,60-89,11.0,False
393,朝闘山 智晴,三段目,平成5年1月,平成10年7月,1993,1998.0,114,102,15,215,34,0.5277777777777778,0.50-0.54,24-35,5.0,False
394,成竜 宏和,三段目,平成6年3月,平成18年7月,1994,2006.0,260,250,8,509,75,0.5098039215686274,0.50-0.54,60-89,12.0,False
395,笠洋 正好,幕下,平成8年3月,平成22年1月,1996,2010.0,295,272,14,567,84,0.5202821869488536,0.50-0.54,60-89,14.0,False
