rank_name,count,ratio
横綱,5,0.005
大関,8,0.008
関脇,17,0.017
小結,18,0.018
前頭,58,0.058
十両,56,0.056
幕下,251,0.251
三段目,303,0.303
序二段,222,0.222
序ノ口,60,0.06
前相撲,2,0.002
