bashoId,fromRankLabel,toRankLabel,wins,losses,absences,juryoLowMakekoshi,juryoLowCollapse,makushitaUpper5FivePlus,promotionPressure,demotionPressure,promotionsToJuryo,demotionsToMakushita
197607,東幕下1枚目,東十両13枚目,4,3,0,4,2,2,11,6,2,2
198507,西幕下2枚目,東十両13枚目,4,3,0,6,3,2,11,9,5,5
198201,西幕下1枚目,東十両12枚目,4,3,0,5,3,4,15,8,6,4
198501,東幕下2枚目,東十両12枚目,4,3,0,10,4,3,13,14,5,3
197809,西幕下2枚目,東十両13枚目,4,3,0,10,6,3,13,16,6,6
198211,東幕下4枚目,西十両13枚目,4,3,0,8,3,4,14,11,5,4
198401,西幕下2枚目,東十両13枚目,4,3,0,9,6,1,12,15,5,5
198305,東幕下1枚目,東十両12枚目,4,3,0,9,4,4,14,13,6,5
198309,東幕下1枚目,東十両12枚目,4,3,0,9,4,4,17,13,6,6
198401,西幕下1枚目,西十両12枚目,4,3,0,9,6,1,12,15,5,5
197811,東幕下2枚目,西十両12枚目,4,3,0,7,1,2,10,8,5,5
198011,西幕下1枚目,東十両13枚目,4,3,0,11,3,4,15,14,4,3
198507,東幕下3枚目,西十両13枚目,4,3,0,6,3,2,11,9,5,5
198703,東幕下1枚目,西十両11枚目,4,3,0,9,2,1,13,11,4,3
198103,東幕下3枚目,西十両13枚目,4,3,0,6,2,3,14,8,5,2
198105,西幕下1枚目,東十両13枚目,4,3,0,4,2,2,13,6,5,3
198111,東幕下3枚目,東十両12枚目,4,3,0,7,3,4,14,10,7,4
198111,東幕下1枚目,西十両10枚目,4,3,0,7,3,4,14,10,7,4
198507,西幕下1枚目,西十両12枚目,4,3,0,6,3,2,11,9,5,5
198203,東幕下1枚目,西十両13枚目,4,3,0,7,1,3,12,8,3,2
198601,東幕下1枚目,東十両13枚目,4,3,0,9,4,2,11,13,4,4
198105,西幕下2枚目,西十両13枚目,4,3,0,4,2,2,13,6,5,3
198403,西幕下1枚目,東十両13枚目,4,3,0,8,2,3,12,10,3,3
198411,東幕下1枚目,東十両13枚目,4,3,0,5,2,2,11,7,4,4
198511,東幕下1枚目,東十両11枚目,4,3,0,6,4,2,12,10,6,4
198311,東幕下2枚目,東十両12枚目,4,3,0,9,4,3,15,13,7,5
198409,東幕下1枚目,西十両12枚目,4,3,0,7,5,4,15,12,6,6
198511,西幕下1枚目,西十両12枚目,4,3,0,6,4,2,12,10,6,4
199007,東幕下1枚目,西十両13枚目,4,3,0,4,1,4,13,5,4,2
198505,西幕下2枚目,西十両11枚目,4,3,0,10,4,3,13,14,5,5
