zone,record,sampleCount,promotedToJuryo,stayedMakushita,demotedOrLower,demotedToMakushita,stayedJuryo,promotedOrAbove
Juryo_Low,2-9,2,,,,2,0,0
Juryo_Low,2-10,1,,,,1,0,0
Juryo_Low,2-11,5,,,,5,0,0
Juryo_Low,2-12,3,,,,3,0,0
Juryo_Low,2-13,58,,,,58,0,0
Juryo_Low,3-5,1,,,,1,0,0
Juryo_Low,3-6,2,,,,2,0,0
Juryo_Low,3-8,1,,,,1,0,0
Juryo_Low,3-9,3,,,,3,0,0
Juryo_Low,3-10,1,,,,1,0,0
Juryo_Low,3-11,1,,,,1,0,0
Juryo_Low,3-12,110,,,,110,0,0
Juryo_Low,4-5,2,,,,2,0,0
Juryo_Low,4-6,3,,,,3,0,0
Juryo_Low,4-7,1,,,,1,0,0
Juryo_Low,4-8,1,,,,1,0,0
Juryo_Low,4-9,2,,,,2,0,0
Juryo_Low,4-10,1,,,,1,0,0
Juryo_Low,4-11,180,,,,178,2,0
Juryo_Low,5-3,1,,,,0,1,0
Juryo_Low,5-4,2,,,,1,1,0
Juryo_Low,5-6,1,,,,0,1,0
Juryo_Low,5-7,3,,,,2,1,0
Juryo_Low,5-8,3,,,,3,0,0
Juryo_Low,5-9,3,,,,3,0,0
Juryo_Low,5-10,263,,,,224,39,0
Juryo_Low,6-2,1,,,,1,0,0
Juryo_Low,6-4,3,,,,1,2,0
Juryo_Low,6-6,1,,,,1,0,0
Juryo_Low,6-7,2,,,,0,2,0
Juryo_Low,6-8,2,,,,1,1,0
Juryo_Low,6-9,383,,,,181,202,0
Juryo_Low,7-4,1,,,,0,1,0
Juryo_Low,7-5,4,,,,0,4,0
Juryo_Low,7-6,2,,,,0,2,0
Juryo_Low,7-7,3,,,,0,3,0
Juryo_Low,7-8,468,,,,74,394,0
Juryo_Low,8-4,1,,,,0,1,0
Juryo_Low,8-5,6,,,,0,6,0
Juryo_Low,8-6,5,,,,0,5,0
Juryo_Low,8-7,937,,,,2,934,1
Juryo_Low,9-3,1,,,,0,1,0
Juryo_Low,9-5,1,,,,0,1,0
Juryo_Low,9-6,649,,,,1,648,0
Juryo_Low,10-3,2,,,,0,2,0
Juryo_Low,10-4,1,,,,0,1,0
Juryo_Low,10-5,255,,,,0,254,1
Juryo_Low,11-4,118,,,,0,118,0
Juryo_Low,12-3,40,,,,0,39,1
Juryo_Low,13-2,25,,,,0,17,8
Juryo_Low,14-1,6,,,,0,2,4
Juryo_Low,15-0,1,,,,0,0,1
Juryo_Mid,0-0,52,,,,22,30,0
Juryo_Mid,0-1,2,,,,1,1,0
Juryo_Mid,0-2,3,,,,3,0,0
Juryo_Mid,0-3,1,,,,1,0,0
Juryo_Mid,0-4,2,,,,2,0,0
Juryo_Mid,0-7,1,,,,1,0,0
Juryo_Mid,0-9,1,,,,1,0,0
Juryo_Mid,0-10,1,,,,1,0,0
Juryo_Mid,0-15,1,,,,1,0,0
Juryo_Mid,1-2,1,,,,1,0,0
Juryo_Mid,1-3,1,,,,1,0,0
Juryo_Mid,1-4,2,,,,2,0,0
Juryo_Mid,1-5,1,,,,1,0,0
Juryo_Mid,1-8,3,,,,3,0,0
Juryo_Mid,1-9,2,,,,1,1,0
Juryo_Mid,1-10,1,,,,1,0,0
Juryo_Mid,1-11,1,,,,1,0,0
Juryo_Mid,1-12,1,,,,1,0,0
Juryo_Mid,1-14,4,,,,4,0,0
Juryo_Mid,2-3,3,,,,3,0,0
Juryo_Mid,2-4,1,,,,1,0,0
Juryo_Mid,2-5,2,,,,2,0,0
Juryo_Mid,2-6,2,,,,2,0,0
Juryo_Mid,2-7,2,,,,2,0,0
Juryo_Mid,2-8,1,,,,1,0,0
Juryo_Mid,2-9,1,,,,1,0,0
Juryo_Mid,2-11,1,,,,1,0,0
Juryo_Mid,2-13,23,,,,23,0,0
Juryo_Mid,3-3,2,,,,2,0,0
Juryo_Mid,3-5,1,,,,1,0,0
Juryo_Mid,3-6,1,,,,1,0,0
Juryo_Mid,3-7,1,,,,1,0,0
Juryo_Mid,3-8,1,,,,1,0,0
Juryo_Mid,3-9,1,,,,1,0,0
Juryo_Mid,3-10,1,,,,1,0,0
Juryo_Mid,3-12,38,,,,32,6,0
Juryo_Mid,4-5,1,,,,1,0,0
Juryo_Mid,4-7,3,,,,0,3,0
Juryo_Mid,4-9,1,,,,0,1,0
Juryo_Mid,4-10,1,,,,0,1,0
Juryo_Mid,4-11,96,,,,38,58,0
Juryo_Mid,5-3,1,,,,0,1,0
Juryo_Mid,5-4,2,,,,0,2,0
Juryo_Mid,5-6,4,,,,0,4,0
