bashoId,fromRankLabel,toRankLabel,wins,losses,absences,juryoLowMakekoshi,juryoLowCollapse,makushitaUpper5FivePlus,promotionPressure,demotionPressure,promotionsToJuryo,demotionsToMakushita
196303,西幕下7枚目,東幕下2枚目,5,2,0,14,6,4,12,20,4,4
196309,西幕下5枚目,西幕下2枚目,5,2,0,12,7,4,11,19,3,3
196405,東幕下5枚目,東幕下2枚目,5,2,0,11,3,3,13,14,3,2
196511,東幕下11枚目,西幕下4枚目,5,2,0,13,6,3,14,19,2,2
196609,東幕下1枚目,東幕下1枚目,5,2,0,13,5,2,12,18,1,1
196801,西幕下28枚目,東幕下14枚目,6,1,0,6,2,1,10,8,3,2
196207,西幕下24枚目,東幕下16枚目,5,2,0,15,5,5,13,20,4,4
196203,東幕下29枚目,西幕下20枚目,5,2,0,11,3,2,13,14,6,4
196211,東幕下18枚目,東幕下8枚目,5,2,0,13,5,3,12,18,3,2
196203,東幕下22枚目,東幕下6枚目,6,1,0,11,3,2,13,14,6,4
196205,東幕下6枚目,東幕下3枚目,5,2,0,13,4,2,13,17,3,1
196207,東幕下3枚目,東幕下2枚目,5,2,0,15,5,5,13,20,4,4
196307,東幕下6枚目,東幕下1枚目,6,1,0,10,5,2,11,15,2,2
196107,西幕下22枚目,東幕下17枚目,5,2,0,16,4,5,14,20,3,3
196301,東幕下22枚目,東幕下10枚目,6,1,0,13,3,4,11,16,2,2
196111,西幕下16枚目,東幕下2枚目,6,1,0,11,3,3,9,14,2,0
196101,東幕下23枚目,東幕下14枚目,5,2,0,12,5,3,13,17,3,1
196103,東幕下14枚目,西幕下8枚目,5,2,0,11,5,3,15,16,3,2
196203,西幕下29枚目,西幕下21枚目,5,2,0,11,3,2,13,14,6,4
196209,西幕下21枚目,西幕下14枚目,5,2,0,12,5,2,13,17,2,1
196103,西幕下25枚目,東幕下15枚目,5,2,0,11,5,3,15,16,3,2
196009,西幕下26枚目,西幕下2枚目,7,0,0,11,2,2,12,13,3,2
196107,西幕下2枚目,東幕下1枚目,5,2,0,16,4,5,14,20,3,3
196109,東幕下1枚目,東幕下1枚目,5,2,0,12,4,4,12,16,1,0
196109,東幕下29枚目,西幕下17枚目,5,2,0,12,4,4,12,16,1,0
196201,東幕下16枚目,西幕下7枚目,5,2,0,14,4,4,11,18,3,1
196305,東幕下26枚目,東幕下16枚目,5,2,0,11,5,2,12,16,5,4
196307,東幕下16枚目,西幕下8枚目,5,2,0,10,5,2,11,15,2,2
196311,西幕下11枚目,東幕下3枚目,5,2,0,13,4,1,11,17,4,2
196401,東幕下3枚目,東幕下2枚目,5,2,0,14,7,4,13,21,4,2
196503,西幕下21枚目,東幕下7枚目,6,1,0,14,4,3,12,18,6,3
196111,西幕下29枚目,西幕下19枚目,5,2,0,11,3,3,9,14,2,0
196205,東幕下21枚目,西幕下6枚目,6,1,0,13,4,2,13,17,3,1
196609,西幕下7枚目,東幕下4枚目,5,2,0,13,5,2,12,18,1,1
196201,東幕下23枚目,西幕下5枚目,6,1,0,14,4,4,11,18,3,1
196603,東幕下23枚目,東幕下15枚目,5,2,0,15,4,3,14,19,3,3
196211,東幕下30枚目,東幕下13枚目,6,1,0,13,5,3,12,18,3,2
196103,西幕下29枚目,西幕下11枚目,6,1,0,11,5,3,15,16,3,2
196105,西幕下11枚目,西幕下7枚目,5,2,0,13,5,2,16,18,3,2
196203,東幕下14枚目,東幕下7枚目,5,2,0,11,3,2,13,14,6,4
196209,西幕下14枚目,東幕下6枚目,5,2,0,12,5,2,13,17,2,1
196301,東幕下16枚目,西幕下6枚目,5,2,0,13,3,4,11,16,2,2
196411,東幕下11枚目,西幕下3枚目,5,2,0,11,7,3,12,18,5,4
196211,東幕下28枚目,東幕下19枚目,5,2,0,13,5,3,12,18,3,2
196405,西幕下25枚目,西幕下9枚目,6,1,0,11,3,3,13,14,3,2
196511,東幕下5枚目,西幕下2枚目,5,2,0,13,6,3,14,19,2,2
196301,西幕下30枚目,西幕下23枚目,5,2,0,13,3,4,11,16,2,2
196311,西幕下22枚目,西幕下9枚目,5,2,0,13,4,1,11,17,4,2
196501,西幕下28枚目,東幕下17枚目,5,2,0,13,8,1,11,21,3,3
196601,東幕下26枚目,東幕下16枚目,5,2,0,11,6,3,14,17,4,3
196305,西幕下22枚目,東幕下10枚目,5,2,0,11,5,2,12,16,5,4
196311,東幕下11枚目,西幕下2枚目,5,2,0,13,4,1,11,17,4,2
196609,東幕下9枚目,西幕下3枚目,6,1,0,13,5,2,12,18,1,1
196209,東幕下28枚目,西幕下16枚目,6,1,0,12,5,2,13,17,2,1
196211,西幕下16枚目,東幕下5枚目,6,1,0,13,5,3,12,18,3,2
196301,東幕下5枚目,西幕下2枚目,5,2,0,13,3,4,11,16,2,2
196503,東幕下18枚目,東幕下8枚目,5,2,0,14,4,3,12,18,6,3
196601,東幕下30枚目,西幕下17枚目,5,2,0,11,6,3,14,17,4,3
196109,東幕下15枚目,東幕下7枚目,5,2,0,12,4,4,12,16,1,0
196101,西幕下16枚目,西幕下7枚目,5,2,0,12,5,3,13,17,3,1
196111,東幕下4枚目,東幕下1枚目,5,2,0,11,3,3,9,14,2,0
196007,西幕下9枚目,東幕下4枚目,5,2,0,16,5,2,12,21,2,2
196009,東幕下4枚目,西幕下1枚目,5,2,0,11,2,2,12,13,3,2
196007,西幕下11枚目,西幕下7枚目,5,2,0,16,5,2,12,21,2,2
196011,西幕下5枚目,東幕下1枚目,6,1,0,10,4,3,12,14,3,3
196011,西幕下16枚目,西幕下8枚目,5,2,0,10,4,3,12,14,3,3
196103,東幕下11枚目,東幕下8枚目,5,2,0,11,5,3,15,16,3,2
196105,東幕下8枚目,西幕下1枚目,5,2,0,13,5,2,16,18,3,2
196111,西幕下9枚目,西幕下2枚目,5,2,0,11,3,3,9,14,2,0
196211,東幕下26枚目,東幕下10枚目,6,1,0,13,5,3,12,18,3,2
196107,東幕下22枚目,西幕下16枚目,5,2,0,16,4,5,14,20,3,3
196109,西幕下16枚目,東幕下9枚目,5,2,0,12,4,4,12,16,1,0
196007,西幕下15枚目,西幕下9枚目,5,2,0,16,5,2,12,21,2,2
196011,東幕下7枚目,東幕下4枚目,5,2,0,10,4,3,12,14,3,3
196411,東幕下19枚目,東幕下8枚目,5,2,0,11,7,3,12,18,5,4
196011,西幕下22枚目,東幕下12枚目,6,1,0,10,4,3,12,14,3,3
196211,西幕下19枚目,東幕下9枚目,5,2,0,13,5,3,12,18,3,2
196303,西幕下11枚目,東幕下6枚目,5,2,0,14,6,4,12,20,4,4
196009,東幕下21枚目,東幕下8枚目,6,1,0,11,2,2,12,13,3,2
196105,東幕下26枚目,西幕下16枚目,5,2,0,13,5,2,16,18,3,2
196103,西幕下8枚目,東幕下4枚目,5,2,0,11,5,3,15,16,3,2
196105,東幕下28枚目,西幕下18枚目,5,2,0,13,5,2,16,18,3,2
196111,東幕下10枚目,東幕下3枚目,5,2,0,11,3,3,9,14,2,0
196101,西幕下24枚目,東幕下16枚目,5,2,0,12,5,3,13,17,3,1
196103,東幕下16枚目,西幕下9枚目,5,2,0,11,5,3,15,16,3,2
196105,西幕下9枚目,西幕下4枚目,5,2,0,13,5,2,16,18,3,2
196201,西幕下12枚目,西幕下4枚目,5,2,0,14,4,4,11,18,3,1
196107,東幕下18枚目,東幕下10枚目,5,2,0,16,4,5,14,20,3,3
196109,東幕下10枚目,西幕下4枚目,5,2,0,12,4,4,12,16,1,0
196305,西幕下15枚目,西幕下4枚目,6,1,0,11,5,2,12,16,5,4
196011,東幕下22枚目,東幕下15枚目,5,2,0,10,4,3,12,14,3,3
196211,東幕下27枚目,西幕下17枚目,5,2,0,13,5,3,12,18,3,2
196009,東幕下29枚目,西幕下12枚目,6,1,0,11,2,2,12,13,3,2
196009,東幕下22枚目,東幕下15枚目,5,2,0,11,2,2,12,13,3,2
196101,西幕下10枚目,西幕下4枚目,5,2,0,12,5,3,13,17,3,1
196201,西幕下29枚目,東幕下12枚目,6,1,0,14,4,4,11,18,3,1
196205,東幕下8枚目,西幕下3枚目,5,2,0,13,4,2,13,17,3,1
196007,西幕下30枚目,西幕下22枚目,5,2,0,16,5,2,12,21,2,2
196011,東幕下27枚目,東幕下19枚目,5,2,0,10,4,3,12,14,3,3
196107,東幕下30枚目,西幕下22枚目,5,2,0,16,4,5,14,20,3,3
196011,西幕下21枚目,西幕下13枚目,5,2,0,10,4,3,12,14,3,3
196009,東幕下27枚目,西幕下18枚目,5,2,0,11,2,2,12,13,3,2
196011,西幕下18枚目,西幕下11枚目,5,2,0,10,4,3,12,14,3,3
196103,東幕下7枚目,西幕下3枚目,5,2,0,11,5,3,15,16,3,2
196101,西幕下22枚目,東幕下8枚目,6,1,0,12,5,3,13,17,3,1
196207,西幕下27枚目,西幕下20枚目,5,2,0,15,5,5,13,20,4,4
196209,西幕下20枚目,東幕下14枚目,5,2,0,12,5,2,13,17,2,1
196311,東幕下26枚目,西幕下8枚目,6,1,0,13,4,1,11,17,4,2
196105,西幕下10枚目,東幕下6枚目,5,2,0,13,5,2,16,18,3,2
196201,西幕下21枚目,西幕下11枚目,5,2,0,14,4,4,11,18,3,1
196105,東幕下23枚目,東幕下14枚目,5,2,0,13,5,2,16,18,3,2
196111,東幕下22枚目,東幕下8枚目,6,1,0,11,3,3,9,14,2,0
196211,西幕下20枚目,西幕下11枚目,5,2,0,13,5,3,12,18,3,2
196307,西幕下11枚目,西幕下6枚目,5,2,0,10,5,2,11,15,2,2
196205,東幕下24枚目,西幕下12枚目,5,2,0,13,4,2,13,17,3,1
196303,東幕下20枚目,東幕下13枚目,5,2,0,14,6,4,12,20,4,4
196311,東幕下15枚目,西幕下3枚目,5,2,0,13,4,1,11,17,4,2
196103,東幕下21枚目,東幕下13枚目,5,2,0,11,5,3,15,16,3,2
196205,東幕下9枚目,東幕下2枚目,6,1,0,13,4,2,13,17,3,1
196107,東幕下29枚目,東幕下8枚目,6,1,0,16,4,5,14,20,3,3
196201,東幕下9枚目,西幕下2枚目,5,2,0,14,4,4,11,18,3,1
196405,西幕下30枚目,東幕下19枚目,5,2,0,11,3,3,13,14,3,2
196409,西幕下14枚目,西幕下4枚目,6,1,0,13,5,3,13,18,4,3
196511,西幕下29枚目,西幕下20枚目,5,2,0,13,6,3,14,19,2,2
196209,東幕下20枚目,西幕下13枚目,5,2,0,12,5,2,13,17,2,1
196301,東幕下11枚目,西幕下3枚目,5,2,0,13,3,4,11,16,2,2
